rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
0.013068459999999815,1640400,5468,1815,0.01,300.0,903,0.0001,16003,0.005718909669667482
-0.5041476500000003,1641600,5472,1815,0.01,300.0,903,0.0001,16015,0.0037293548230081797
-0.1339500400000001,1642800,5476,1816,0.01,300.0,904,0.0001,16027,0.004975232761353254
-0.3055874999999999,1644000,5480,1817,0.01,300.0,904,0.0001,16039,0.004446612671017647
-0.33106962999999995,1645200,5484,1818,0.01,300.0,904,0.0001,16051,0.005681966431438923
-0.06383818000000016,1646400,5488,1818,0.01,300.0,905,0.0001,16063,0.004344588611274958
-0.46738002000000006,1647600,5492,1819,0.01,300.0,905,0.0001,16075,0.004035422578454018
-0.39145230000000014,1648800,5496,1820,0.01,300.0,905,0.0001,16087,0.005948204547166824
-0.1695079300000001,1650000,5500,1821,0.01,300.0,905,0.0001,16099,0.004962192848324776
-0.14079954000000003,1651200,5504,1822,0.01,300.0,906,0.0001,16111,0.005022271536290646
0.15450775,1652400,5508,1822,0.01,300.0,906,0.0001,16123,0.0064824228174984455
-0.10074583999999996,1653600,5512,1823,0.01,300.0,906,0.0001,16135,0.004416957031935453
-0.0623719200000001,1654800,5516,1824,0.01,300.0,906,0.0001,16147,0.005048532038927078
0.05610959999999997,1656000,5520,1825,0.01,300.0,907,0.0001,16159,0.00404302729293704
-0.07241464999999989,1657200,5524,1826,0.01,300.0,907,0.0001,16171,0.004474051762372255
0.22808253000000003,1658400,5528,1826,0.01,300.0,907,0.0001,16183,0.0056581152603030205
0.3390473300000001,1659600,5532,1827,0.01,300.0,908,0.0001,16195,0.0036897717509418726
-0.07329407999999991,1660800,5536,1828,0.01,300.0,908,0.0001,16207,0.005722682923078537
-0.08757528999999993,1662000,5540,1829,0.01,300.0,908,0.0001,16219,0.007745929528027773
0.10006994999999996,1663200,5544,1829,0.01,300.0,908,0.0001,16231,0.003969689831137657
0.28189053999999997,1664400,5548,1830,0.01,300.0,909,0.0001,16243,0.0034408392384648323
0.42290447000000014,1665600,5552,1831,0.01,300.0,909,0.0001,16255,0.005108119919896126
0.35757497000000027,1666800,5556,1832,0.01,300.0,909,0.0001,16267,0.006785677280277014
0.019054900000000173,1668000,5560,1833,0.01,300.0,909,0.0001,16279,0.006072395481169224
0.1559775300000001,1669200,5564,1834,0.01,300.0,909,0.0001,16291,0.010035558603703976
-0.1443662699999999,1670400,5568,1835,0.01,300.0,910,0.0001,16303,0.0049423654563724995
0.08132783000000014,1671600,5572,1836,0.01,300.0,910,0.0001,16315,0.005113013554364443
0.21604303000000014,1672800,5576,1836,0.01,300.0,910,0.0001,16327,0.008127476088702679
0.26942418000000007,1674000,5580,1837,0.01,300.0,910,0.0001,16339,0.006856576073914766
-0.1561998099999999,1675200,5584,1838,0.01,300.0,911,0.0001,16351,0.005002801772207022
-0.5416754300000001,1676400,5588,1839,0.01,300.0,911,0.0001,16363,0.004160050768405199
-0.54652852,1677600,5592,1840,0.01,300.0,911,0.0001,16375,0.003728964366018772
-0.49758460999999976,1678800,5596,1841,0.01,300.0,911,0.0001,16387,0.0042165545746684074
-0.5588478599999999,1680000,5600,1842,0.01,300.0,911,0.0001,16399,0.005084609612822533
-0.7665865199999997,1681200,5604,1843,0.01,300.0,911,0.0001,16411,0.004852372221648693
-0.8790646399999998,1682400,5608,1844,0.01,300.0,912,0.0001,16423,0.0061065154150128365
-1.09081993,1683600,5612,1845,0.01,300.0,912,0.0001,16435,0.003946834243834019
-1.23281514,1684800,5616,1845,0.01,300.0,912,0.0001,16447,0.012517023831605911
-1.4445789399999998,1686000,5620,1846,0.01,300.0,912,0.0001,16459,0.0052766925655305386
-1.4914318199999999,1687200,5624,1847,0.01,300.0,913,0.0001,16471,0.004490778315812349
-1.7277793,1688400,5628,1848,0.01,300.0,913,0.0001,16483,0.005541374906897545
-1.3888818200000004,1689600,5632,1849,0.01,300.0,913,0.0001,16495,0.004686811938881874
-1.8370299,1690800,5636,1849,0.01,300.0,913,0.0001,16507,0.012559830211102962
-1.61967173,1692000,5640,1850,0.01,300.0,914,0.0001,16519,0.005550136789679527
-1.8554649499999996,1693200,5644,1851,0.01,300.0,914,0.0001,16531,0.0071268752217292786
-2.0823962500000004,1694400,5648,1852,0.01,300.0,914,0.0001,16543,0.005522189661860466
-2.0448054,1695600,5652,1853,0.01,300.0,915,0.0001,16555,0.011263452470302582
-1.9943477900000004,1696800,5656,1853,0.01,300.0,915,0.0001,16567,0.0053624254651367664
-1.7250759600000003,1698000,5660,1854,0.01,300.0,915,0.0001,16579,0.0056290049105882645
-1.7019690400000003,1699200,5664,1855,0.01,300.0,915,0.0001,16591,0.004174692090600729
-1.93580615,1700400,5668,1916,0.01,300.0,887,0.0001,16603,0.005160246975719929
-1.97473285,1701600,5672,1916,0.01,300.0,887,0.0001,16615,0.013646075502038002
-2.22295976,1702800,5676,1917,0.01,300.0,887,0.0001,16627,0.006370728835463524
-2.3080797700000004,1704000,5680,1918,0.01,300.0,888,0.0001,16639,0.0054599810391664505
-1.6279543200000004,1705200,5684,1919,0.01,300.0,888,0.0001,16651,0.007014748640358448
-1.66806612,1706400,5688,1919,0.01,300.0,888,0.0001,16663,0.005874129943549633
-1.4909769800000001,1707600,5692,1920,0.01,300.0,889,0.0001,16675,0.005342288874089718
-1.7997953400000002,1708800,5696,1921,0.01,300.0,889,0.0001,16687,0.014874826185405254
-2.14699696,1710000,5700,1922,0.01,300.0,889,0.0001,16699,0.0060851736925542355
-1.8119078,1711200,5704,1923,0.01,300.0,889,0.0001,16711,0.006485855206847191
-1.6991917699999999,1712400,5708,1924,0.01,300.0,889,0.0001,16723,0.006833977997303009
-1.7228812900000003,1713600,5712,1925,0.01,300.0,890,0.0001,16735,0.006249616853892803
-1.63855206,1714800,5716,1925,0.01,300.0,890,0.0001,16747,0.004491915460675955
-1.2795900100000004,1716000,5720,1926,0.01,300.0,890,0.0001,16759,0.005508421920239925
-0.6093474900000001,1717200,5724,1927,0.01,300.0,890,0.0001,16771,0.011949367821216583
-0.3705851800000002,1718400,5728,1928,0.01,300.0,891,0.0001,16783,0.0071172951720654964
-0.5242613700000001,1719600,5732,1928,0.01,300.0,891,0.0001,16795,0.005557181779295206
0.18052913000000015,1720800,5736,1929,0.01,300.0,891,0.0001,16807,0.005593413952738047
-0.10209209999999981,1722000,5740,1930,0.01,300.0,892,0.0001,16819,0.004239427857100964
-0.1821989099999999,1723200,5744,1931,0.01,300.0,892,0.0001,16831,0.005315513350069523
-0.23581032999999998,1724400,5748,1932,0.01,300.0,892,0.0001,16843,0.005651685409247875
-0.08714170000000004,1725600,5752,1933,0.01,300.0,892,0.0001,16855,0.009956758469343185
0.033671690000000074,1726800,5756,1934,0.01,300.0,892,0.0001,16867,0.007751128636300564
-0.2183621699999999,1728000,5760,1934,0.01,300.0,893,0.0001,16879,0.004178312607109547
-0.1535230099999999,1729200,5764,1935,0.01,300.0,893,0.0001,16891,0.0069695571437478065
-0.12667452999999987,1730400,5768,1936,0.01,300.0,893,0.0001,16903,0.004830650053918362
-0.10066374000000002,1731600,5772,1937,0.01,300.0,893,0.0001,16915,0.008689843118190765
-0.28118405999999996,1732800,5776,1938,0.01,300.0,893,0.0001,16927,0.0031681410036981106
0.06877714000000008,1734000,5780,1939,0.01,300.0,894,0.0001,16939,0.006040839944034815
-0.11305256000000002,1735200,5784,1940,0.01,300.0,894,0.0001,16951,0.004766474012285471
0.34450855999999985,1736400,5788,1941,0.01,300.0,894,0.0001,16963,0.004265488125383854
0.5300820300000001,1737600,5792,1942,0.01,300.0,894,0.0001,16975,0.004541213158518076
0.8807649000000001,1738800,5796,1943,0.01,300.0,894,0.0001,16987,0.003969984594732523
1.04563778,1740000,5800,1944,0.01,300.0,895,0.0001,16999,0.004886907525360584
0.71325241,1741200,5804,1944,0.01,300.0,895,0.0001,17011,0.01057031936943531
0.3614422399999999,1742400,5808,1945,0.01,300.0,895,0.0001,17023,0.004362329374998808
0.7973371100000003,1743600,5812,1946,0.01,300.0,895,0.0001,17035,0.005658436566591263
0.8811803700000002,1744800,5816,1947,0.01,300.0,896,0.0001,17047,0.012352945283055305
0.8122567700000001,1746000,5820,1948,0.01,300.0,896,0.0001,17059,0.006066847592592239
0.2959856199999999,1747200,5824,1948,0.01,300.0,896,0.0001,17071,0.005523001775145531
0.18081070999999987,1748400,5828,1949,0.01,300.0,896,0.0001,17083,0.006660814397037029
0.25897550999999996,1749600,5832,1950,0.01,300.0,896,0.0001,17095,0.006380022969096899
0.30265732999999995,1750800,5836,1951,0.01,300.0,897,0.0001,17107,0.006871438585221767
0.6572095299999999,1752000,5840,1953,0.01,300.0,897,0.0001,17119,0.009361088275909424
0.75292404,1753200,5844,1954,0.01,300.0,897,0.0001,17131,0.00511132599785924
0.5455215199999999,1754400,5848,1955,0.01,300.0,897,0.0001,17143,0.004576386418193579
