time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss
163840,744,220,80,300.0,-0.26896249000000017,0.2,-0.03911506201256998,0.184912109375,0.024400442838668823,0.17015306488610804,0.01931772,0.0003,0.34487462043762207,790,-1.1990362707525493
165888,747,221,81,300.0,-0.12434268999999996,0.2,-0.039985975268064064,0.193115234375,0.1619449257850647,0.38983152485452593,0.020423628,0.0003,0.19781231880187988,800,-1.175016364082694
167936,750,223,82,300.0,0.38656083000000024,0.2,-0.038325627840822565,0.1970703125,0.14021506905555725,0.5507611757144332,0.020441227,0.0003,-0.023403286933898926,810,-1.1460371322929859
169984,752,225,83,300.0,0.19041024000000004,0.2,-0.03722811251936946,0.19853515625,0.0944536104798317,0.31789030246436595,0.022198956,0.0003,0.02216428518295288,820,-1.1478366572409868
172032,754,227,84,300.0,-0.3898938299999999,0.2,-0.03717271429777611,0.191796875,0.05567491799592972,0.19864580968860537,0.01975658,0.0003,0.27618634700775146,830,-1.1391953248530626
174080,756,230,85,300.0,-0.003512689999999914,0.2,-0.035454072486027145,0.181103515625,0.2572651505470276,0.6531051064841449,0.018194463,0.0003,0.07021021842956543,840,-1.1104261176660657
176128,758,232,86,300.0,0.03715818999999998,0.2,-0.03429884509096155,0.160791015625,0.28691405057907104,0.7106412270106375,0.016537458,0.0003,0.018174707889556885,850,-1.1182573972269894
178176,759,234,87,300.0,0.3002608799999999,0.2,-0.033915953570976855,0.167822265625,0.04681001976132393,0.30195611098315567,0.017552815,0.0003,-0.10902822017669678,860,-1.124363898858428
180224,761,236,88,300.0,0.3383556599999998,0.2,-0.04098898626398295,0.20634765625,0.06624870002269745,0.2536566467955709,0.022599177,0.0003,-0.09428882598876953,870,-1.115674614161253
182272,762,239,89,300.0,0.5776190599999999,0.2,-0.03784130577405449,0.19912109375,0.12609949707984924,0.3851248265709728,0.020292448,0.0003,0.054883360862731934,880,-1.1022215915843845
184320,763,241,90,300.0,0.7388490299999997,0.2,-0.0367556722892914,0.186474609375,0.06298209726810455,0.25822627954185007,0.020787671,0.0003,-0.06958520412445068,890,-1.1135485865175725
186368,765,243,91,300.0,1.2280230199999997,0.2,-0.03607969686272554,0.189111328125,-0.012483298778533936,0.13855315688997508,0.018914063,0.0003,-0.2538943290710449,900,-1.1010838635265827
188416,767,245,92,300.0,0.7422324100000001,0.2,-0.03531200765864924,0.192724609375,0.11927562952041626,0.49354615500196813,0.020857032,0.0003,0.05752158164978027,910,-1.0836054507642985
190464,769,247,93,300.0,0.5345619499999998,0.2,-0.035948908819409556,0.168603515625,0.22424457967281342,0.6031747088767588,0.01839031,0.0003,0.03164416551589966,920,-1.08837885633111
192512,771,249,94,300.0,0.007785360000000097,0.2,-0.038259274064330384,0.1861328125,0.18686015903949738,0.48505390211939814,0.020977702,0.0003,0.04248696565628052,930,-1.0985939113423229
194560,773,251,95,300.0,0.4848263700000001,0.2,-0.03696176781086251,0.17705078125,0.15372422337532043,0.4066679120995104,0.020740323,0.0003,0.11881762742996216,940,-1.0746951084583998
196608,775,253,96,300.0,0.30012492000000024,0.2,-0.038702983412076716,0.196630859375,0.14537413418293,0.5292290936689824,0.021057472,0.0003,0.049903929233551025,950,-1.0997821245342494
198656,777,255,97,300.0,-0.31498068,0.2,-0.04263291570532601,0.207666015625,0.04024650901556015,0.266789904050529,0.023481704,0.0003,-0.033298611640930176,960,-1.092275793850422
200704,638,314,98,300.0,-0.5708082200000001,0.2,-0.03647445701935794,0.1833984375,0.16710558533668518,0.49664124846458435,0.01944502,0.0003,0.17581921815872192,970,-1.0768828062340616
202752,641,316,99,300.0,-0.79823848,0.2,-0.039004280770313926,0.17900390625,0.15662124752998352,0.5975049794651568,0.019815736,0.0003,0.2037506103515625,980,-1.1047910245135426
204800,643,318,100,300.0,-0.72437676,0.2,-0.03936891488265246,0.20380859375,0.03303137421607971,0.30878991675563155,0.02233841,0.0003,0.29080235958099365,990,-1.0620040023699402
206848,645,320,101,300.0,-0.7857885899999999,0.2,-0.03842188557173358,0.202685546875,0.09640689194202423,0.3266253379639238,0.021742491,0.0003,0.19329190254211426,1000,-1.058225065842271
208896,648,322,102,300.0,-0.33920799999999995,0.2,-0.03809992249589413,0.184228515625,0.2804691791534424,0.53811199888587,0.02023377,0.0003,0.18471789360046387,1010,-1.0682599328458309
210944,650,324,103,300.0,-0.11730726000000007,0.2,-0.037946787268447225,0.20673828125,0.07062196731567383,0.3130246255546808,0.021527164,0.0003,0.3082376718521118,1020,-1.0635986413806677
212992,652,326,104,300.0,0.06139077999999998,0.2,-0.03365565750864334,0.18935546875,0.06267966330051422,0.2529880854766816,0.019891359,0.0003,0.5577807426452637,1030,-1.0410372581332923
215040,655,328,105,300.0,-0.3384599400000002,0.2,-0.037297931165085174,0.18271484375,0.2516225576400757,0.5777706223540008,0.02157207,0.0003,0.3948328495025635,1040,-1.0333423953503371
217088,657,330,106,300.0,-0.33786376999999995,0.2,-0.0377874952449929,0.189208984375,0.10837426781654358,0.5174334875773638,0.019895425,0.0003,0.190015971660614,1050,-1.0054456293582916
219136,659,332,107,300.0,0.26462920000000006,0.2,-0.03633391681942157,0.17392578125,0.12128525972366333,0.355346343992278,0.01902042,0.0003,0.323930561542511,1060,-0.9893536334857345
221184,661,334,108,300.0,-0.18576842,0.2,-0.04108614740543999,0.19677734375,-0.0011684969067573547,0.22798839355818928,0.024379376,0.0003,0.25139981508255005,1070,-0.9831586193293333
223232,663,336,109,300.0,-0.16291405999999994,0.2,-0.03775969852868002,0.1736328125,0.26739275455474854,0.621473269816488,0.020735528,0.0003,-0.048624634742736816,1080,-0.9804978128522635
225280,665,338,110,300.0,-0.1503025599999999,0.2,-0.03573594816843979,0.179736328125,0.26237839460372925,0.6272486691363156,0.019384516,0.0003,0.10079455375671387,1090,-0.968598747998476
227328,667,340,111,300.0,0.023916700000000138,0.2,-0.03490434954001102,0.175146484375,0.19730478525161743,0.5692976005375385,0.018890733,0.0003,0.14215487241744995,1100,-0.97222407348454
229376,669,342,112,300.0,0.6910949099999998,0.2,-0.038579003524500874,0.196630859375,0.040359243750572205,0.19318543828558177,0.021427732,0.0003,0.3514000177383423,1110,-0.9842732792720199
231424,671,344,113,300.0,0.8713484300000002,0.2,-0.040944540093187244,0.1923828125,0.1795196831226349,0.5915583807975053,0.020293294,0.0003,0.24118894338607788,1120,-0.9779963986948133
233472,673,346,114,300.0,0.82663803,0.2,-0.04104683362820651,0.22685546875,-0.016202952712774277,0.1434585444862023,0.024469145,0.0003,0.4634819030761719,1130,-0.9819544710218906
235520,675,348,115,300.0,0.87491085,0.2,-0.039756962354294954,0.207470703125,0.2596254050731659,0.6308016216382384,0.02345649,0.0003,0.09826582670211792,1140,-0.9856934830546379
237568,677,350,116,300.0,0.87630981,0.2,-0.03941645450104261,0.209619140625,0.24927639961242676,0.5814774214290083,0.023226444,0.0003,-0.03304886817932129,1150,-0.981344729103148
239616,679,352,117,300.0,0.4209896599999999,0.2,-0.03600200925138779,0.194287109375,0.09251995384693146,0.39748841989785433,0.022702787,0.0003,-0.12091124057769775,1160,-0.9709563292562962
241664,681,354,118,300.0,0.23036166000000002,0.2,-0.03989703448896762,0.22099609375,-0.0071327462792396545,0.20169456403236835,0.024558228,0.0003,-0.09018027782440186,1170,-0.9593575336039066
243712,683,356,119,300.0,0.22787906999999985,0.2,-0.039548363085486926,0.193798828125,0.140363410115242,0.43913930081762376,0.022998523,0.0003,0.041513264179229736,1180,-0.9410254070535302
245760,685,358,120,300.0,-0.05513237000000011,0.2,-0.03977518147730734,0.201220703125,0.06636647880077362,0.34356014407239854,0.022540368,0.0003,0.0340648889541626,1190,-0.9314754035323858
247808,686,360,121,300.0,-0.62095826,0.2,-0.03973497468541609,0.209619140625,0.0882200375199318,0.4062809939030558,0.027759526,0.0003,0.08981627225875854,1200,-0.9638581680133939
249856,689,362,122,300.0,-0.79661977,0.2,-0.03866630600241479,0.2033203125,0.07091231644153595,0.35230916626751424,0.024133608,0.0003,-0.04310619831085205,1210,-0.9274581866338849
251904,690,364,123,300.0,-0.10280573999999981,0.2,-0.03845851075311657,0.20771484375,0.04410270228981972,0.2616838999092579,0.02423698,0.0003,-0.020992040634155273,1220,-0.9341188861057163
253952,692,366,124,300.0,0.07025181999999996,0.2,-0.0362426181207411,0.19892578125,0.12452563643455505,0.3770863956771791,0.024274549,0.0003,0.006180882453918457,1230,-0.9276340160518884
256000,693,368,125,300.0,-0.12212963000000011,0.2,-0.03892075353069231,0.202587890625,0.02233852446079254,0.2625373556744307,0.0252442,0.0003,-0.07746851444244385,1240,-0.9238002866506576
258048,695,370,126,300.0,0.25701974000000005,0.2,-0.03974970804702025,0.192529296875,0.23300118744373322,0.6881995504721999,0.022038309,0.0003,-0.019195079803466797,1250,-0.9287246467545629
260096,697,372,127,300.0,0.33406694000000003,0.2,-0.04261701197829097,0.20322265625,0.05062297731637955,0.31990939350798725,0.022849344,0.0003,-0.030634641647338867,1260,-0.9352731958031655
262144,699,374,128,300.0,0.1576484599999999,0.2,-0.038097208180988676,0.228125,0.08449018001556396,0.3577592375688255,0.024477066,0.0003,-0.11467432975769043,1270,-0.9666221283376217
264192,701,376,129,300.0,-0.4165695599999999,0.2,-0.041083708670339544,0.212939453125,0.03183535486459732,0.2402512553613633,0.024269955,0.0003,0.010086655616760254,1280,-0.9670341415330768
266240,702,378,130,300.0,-0.35664565,0.2,-0.03489931429357966,0.195947265625,0.4971410930156708,0.9107038255780935,0.020169262,0.0003,-0.020687103271484375,1290,-0.9853712536394597
268288,704,380,131,300.0,-0.18922223,0.2,-0.04021648741036188,0.2052734375,0.0594780370593071,0.2184343809261918,0.026203344,0.0003,0.07231611013412476,1300,-0.9794694436714053
270336,706,382,132,300.0,0.14303139999999995,0.2,-0.03937276796204969,0.205517578125,-0.044232554733753204,0.11320692094741389,0.023643505,0.0003,-0.07889628410339355,1310,-0.9766157411038876
272384,707,384,133,300.0,-0.04678501999999998,0.2,-0.037505761088686994,0.188427734375,0.07321324944496155,0.3027900546323508,0.021186275,0.0003,-0.04435372352600098,1320,-0.9772790282964706
274432,709,386,134,300.0,-0.2897658900000001,0.2,-0.036250533565180376,0.209326171875,0.08694903552532196,0.3344444166868925,0.022228803,0.0003,-0.026792168617248535,1330,-0.9902680682018399
276480,710,389,135,300.0,-0.0983322900000001,0.2,-0.033458780648652466,0.18681640625,0.11509711295366287,0.3653238800354302,0.020358793,0.0003,0.01496124267578125,1340,-0.9581813795492053
278528,708,392,136,300.0,0.31032863000000005,0.2,-0.03838358474022243,0.198681640625,0.07167326658964157,0.2709385703317821,0.024180813,0.0003,0.07923781871795654,1350,-0.9405497433617711
280576,709,395,137,300.0,0.4365572499999999,0.2,-0.0375052819668781,0.205322265625,0.05572720617055893,0.24102910622023047,0.024806878,0.0003,-0.06226038932800293,1360,-0.9474746266379952
282624,709,398,138,300.0,0.7937831599999998,0.2,-0.03951812170853373,0.19921875,0.26568499207496643,0.6007834985852242,0.02003425,0.0003,0.04923737049102783,1370,-0.9712342133745551
284672,710,400,139,300.0,0.46984359,0.2,-0.04269344663480297,0.233056640625,0.22348788380622864,0.5614692744798958,0.026292112,0.0003,0.03912264108657837,1380,-0.9600038228556513
286720,711,402,140,300.0,0.21833917,0.2,-0.040132604580139744,0.20830078125,0.1366962045431137,0.43881262284703554,0.024638262,0.0003,0.1339036226272583,1390,-0.9468031376600266
288768,712,405,141,300.0,0.16624318999999993,0.2,-0.03742098516377155,0.20302734375,0.12719476222991943,0.3698293384630233,0.021921113,0.0003,0.3061619997024536,1400,-0.9428014617413283
290816,713,407,142,300.0,0.5999990599999998,0.2,-0.03528877824282972,0.17568359375,0.3679976463317871,0.6709261688403785,0.020394359,0.0003,0.1439724564552307,1410,-0.9246454441919922
292864,714,410,143,300.0,0.6349255300000002,0.2,-0.03876215659838635,0.207470703125,0.12102223932743073,0.3658671359531581,0.022401059,0.0003,0.15748381614685059,1420,-0.9319993905723095
294912,715,412,144,300.0,0.5353794800000001,0.2,-0.03763818080769852,0.203515625,0.06877175718545914,0.21161017338745297,0.026196802,0.0003,-0.25846993923187256,1430,-0.9182710142806172
296960,716,414,145,300.0,0.5199084500000002,0.2,-0.040248980151955036,0.203759765625,0.24874921143054962,0.7546001551672816,0.024577532,0.0003,0.05923730134963989,1440,-0.9282878618687391
299008,717,416,146,300.0,0.29034562,0.2,-0.04002999746298883,0.208984375,0.020517289638519287,0.1611309570958838,0.026754433,0.0003,-0.029895782470703125,1450,-0.9198277372866869
301056,627,480,147,300.0,-0.37714911999999984,0.2,-0.03661609511764254,0.211962890625,0.18057775497436523,0.3791131510399282,0.024130685,0.0003,0.06492704153060913,1460,-0.9130343448370695
