rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,1364,175,240000,800,0.06388030000000015,0.5516981132075472,0.0032549595925956964,0.0001,1999
300.0,1367,176,241200,804,0.009181490000000115,0.5494566037735849,0.0016421967884525657,0.0001,2011
300.0,1369,176,242400,808,-0.13843028999999998,0.5472150943396228,0.003813924267888069,0.0001,2023
300.0,1372,177,243600,812,-0.10070106999999995,0.5449735849056603,0.0021588015370070934,0.0001,2035
300.0,1376,177,244800,816,0.01739409000000007,0.5427320754716983,0.0027919323183596134,0.0001,2047
300.0,1379,178,246000,820,-0.0015760299999999373,0.5404905660377359,0.0033159987069666386,0.0001,2059
300.0,1382,178,247200,824,0.07189117000000002,0.5382490566037734,0.0023094424977898598,0.0001,2071
300.0,1385,179,248400,828,-0.08794859999999999,0.5360075471698115,0.00622545974329114,0.0001,2083
300.0,1388,179,249600,832,-0.10564106999999995,0.5337660377358491,0.0032754915300756693,0.0001,2095
300.0,1391,180,250800,836,-0.12156979,0.531524528301887,0.0021737590432167053,0.0001,2107
300.0,1394,180,252000,840,-0.09704850000000001,0.5292830188679245,0.0019226328004151583,0.0001,2119
300.0,1396,181,253200,844,-0.10573318999999999,0.527041509433962,0.0024744756519794464,0.0001,2131
300.0,1399,181,254400,848,-0.12546174,0.5248000000000002,0.0018657846376299858,0.0001,2143
300.0,1402,182,255600,852,-0.20153818999999995,0.5225584905660376,0.00390787934884429,0.0001,2155
300.0,1405,182,256800,856,-0.2203517,0.5203169811320757,0.0015611158451065421,0.0001,2167
300.0,1408,183,258000,860,-0.19358541999999995,0.5180754716981133,0.00224340264685452,0.0001,2179
300.0,1411,183,259200,864,-0.28584432,0.5158339622641512,0.0029650761280208826,0.0001,2191
300.0,1413,184,260400,868,-0.28139738000000003,0.5135924528301887,0.003844341030344367,0.0001,2203
300.0,1416,184,261600,872,-0.27308415999999996,0.5113509433962263,0.002187858335673809,0.0001,2215
300.0,1418,185,262800,876,-0.29775447,0.5091094339622644,0.003439998021349311,0.0001,2227
300.0,1421,185,264000,880,-0.26269111999999994,0.5068679245283019,0.0027817070949822664,0.0001,2239
300.0,1424,186,265200,884,-0.26688016000000003,0.5046264150943394,0.002091849222779274,0.0001,2251
300.0,1426,186,266400,888,-0.19801307,0.5023849056603774,0.0028185248374938965,0.0001,2263
300.0,1429,187,267600,892,-0.06453516000000004,0.500143396226415,0.0026440047658979893,0.0001,2275
300.0,1431,187,268800,896,-0.04929857000000008,0.49790188679245306,0.0025355361867696047,0.0001,2287
300.0,1433,188,270000,900,-0.031042950000000083,0.49566037735849056,0.003000991651788354,0.0001,2299
300.0,1436,188,271200,904,0.032916730000000005,0.4934188679245285,0.00229852763004601,0.0001,2311
300.0,1438,189,272400,908,0.08995808000000005,0.4911773584905661,0.002250783843919635,0.0001,2323
