rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/loss,train/n_updates,train/learning_rate
-0.016249570000000057,0.01,957,1184400,300.0,1237,3948,0.00470992736518383,11443,0.0001
0.13270908999999972,0.01,957,1185600,300.0,1237,3952,0.0055267782881855965,11455,0.0001
-0.007017460000000035,0.01,958,1186800,300.0,1238,3956,0.005062734242528677,11467,0.0001
-0.05892189999999996,0.01,958,1188000,300.0,1239,3960,0.00515766441822052,11479,0.0001
0.4255914399999998,0.01,958,1189200,300.0,1240,3964,0.0064330752938985825,11491,0.0001
0.3238567499999999,0.01,959,1190400,300.0,1240,3968,0.004405749496072531,11503,0.0001
0.28563371000000026,0.01,959,1191600,300.0,1241,3972,0.003996176645159721,11515,0.0001
-0.07565085999999979,0.01,959,1192800,300.0,1242,3976,0.00864910427480936,11527,0.0001
-0.47255181,0.01,960,1194000,300.0,1243,3980,0.003734762780368328,11539,0.0001
-0.2231251599999999,0.01,960,1195200,300.0,1243,3984,0.008876653388142586,11551,0.0001
-0.06648331999999975,0.01,961,1196400,300.0,1244,3988,0.006632145494222641,11563,0.0001
0.2591620400000002,0.01,961,1197600,300.0,1245,3992,0.0065925647504627705,11575,0.0001
0.31237320000000035,0.01,961,1198800,300.0,1246,3996,0.006533787585794926,11587,0.0001
0.10371649000000033,0.01,920,1200000,300.0,1303,4000,0.006762322504073381,11599,0.0001
0.13461884999999998,0.01,921,1201200,300.0,1303,4004,0.004294291604310274,11611,0.0001
0.06012161999999993,0.01,921,1202400,300.0,1304,4008,0.010367248207330704,11623,0.0001
0.007558289999999932,0.01,921,1203600,300.0,1305,4012,0.0034908694215118885,11635,0.0001
0.2799621800000001,0.01,922,1204800,300.0,1306,4016,0.0059104361571371555,11647,0.0001
-0.06011651999999982,0.01,922,1206000,300.0,1306,4020,0.005467989481985569,11659,0.0001
-0.1148653599999999,0.01,923,1207200,300.0,1307,4024,0.004681921564042568,11671,0.0001
0.04109665000000009,0.01,923,1208400,300.0,1308,4028,0.005330166779458523,11683,0.0001
0.36836989000000014,0.01,923,1209600,300.0,1309,4032,0.004702957812696695,11695,0.0001
0.3831258400000001,0.01,924,1210800,300.0,1309,4036,0.009185118600726128,11707,0.0001
0.16601518999999992,0.01,924,1212000,300.0,1311,4040,0.0056555853225290775,11719,0.0001
-0.2919144099999999,0.01,924,1213200,300.0,1311,4044,0.004484734497964382,11731,0.0001
0.18908362000000029,0.01,925,1214400,300.0,1312,4048,0.003644702024757862,11743,0.0001
-0.5044141599999997,0.01,925,1215600,300.0,1313,4052,0.005302546080201864,11755,0.0001
-0.44088348999999993,0.01,925,1216800,300.0,1314,4056,0.005287656094878912,11767,0.0001
0.20885602000000006,0.01,926,1218000,300.0,1315,4060,0.003585473168641329,11779,0.0001
0.54437219,0.01,926,1219200,300.0,1315,4064,0.005519556812942028,11791,0.0001
0.30408349,0.01,926,1220400,300.0,1316,4068,0.004960911348462105,11803,0.0001
0.1812949200000001,0.01,927,1221600,300.0,1317,4072,0.005779057741165161,11815,0.0001
0.07614554000000003,0.01,927,1222800,300.0,1318,4076,0.005010221153497696,11827,0.0001
0.14357277999999998,0.01,928,1224000,300.0,1318,4080,0.0039283218793570995,11839,0.0001
0.036282999999999885,0.01,928,1225200,300.0,1319,4084,0.007526654750108719,11851,0.0001
0.28490234999999997,0.01,928,1226400,300.0,1320,4088,0.004391921684145927,11863,0.0001
0.21597519000000007,0.01,929,1227600,300.0,1321,4092,0.004161989316344261,11875,0.0001
0.60000292,0.01,929,1228800,300.0,1321,4096,0.003794851480051875,11887,0.0001
0.94144343,0.01,929,1230000,300.0,1322,4100,0.007550438866019249,11899,0.0001
1.6296040499999997,0.01,930,1231200,300.0,1323,4104,0.009655031375586987,11911,0.0001
1.69813393,0.01,930,1232400,300.0,1324,4108,0.004225831013172865,11923,0.0001
1.5382623499999997,0.01,931,1233600,300.0,1324,4112,0.005460646003484726,11935,0.0001
1.45181762,0.01,931,1234800,300.0,1325,4116,0.004967978224158287,11947,0.0001
1.21459462,0.01,932,1236000,300.0,1326,4120,0.004135723225772381,11959,0.0001
0.9560138199999997,0.01,932,1237200,300.0,1326,4124,0.005766216199845076,11971,0.0001
0.90975237,0.01,932,1238400,300.0,1327,4128,0.007387129124253988,11983,0.0001
0.43787582000000014,0.01,933,1239600,300.0,1328,4132,0.005191495176404715,11995,0.0001
0.58206483,0.01,933,1240800,300.0,1328,4136,0.005709990859031677,12007,0.0001
0.3635337600000001,0.01,934,1242000,300.0,1329,4140,0.006423770450055599,12019,0.0001
0.34910152000000017,0.01,934,1243200,300.0,1330,4144,0.005455023609101772,12031,0.0001
0.49429921,0.01,934,1244400,300.0,1331,4148,0.00491795688867569,12043,0.0001
0.7907071500000002,0.01,934,1245600,300.0,1332,4152,0.006277128122746944,12055,0.0001
0.63887302,0.01,935,1246800,300.0,1333,4156,0.010268105193972588,12067,0.0001
0.60513849,0.01,935,1248000,300.0,1333,4160,0.005529266316443682,12079,0.0001
0.3379477000000001,0.01,935,1249200,300.0,1334,4164,0.004022262990474701,12091,0.0001
0.3680579500000002,0.01,936,1250400,300.0,1335,4168,0.004443878307938576,12103,0.0001
0.63474244,0.01,936,1251600,300.0,1336,4172,0.005535051692277193,12115,0.0001
0.6761524900000002,0.01,937,1252800,300.0,1336,4176,0.0038554139900952578,12127,0.0001
1.19536772,0.01,937,1254000,300.0,1337,4180,0.005614055320620537,12139,0.0001
1.0350048499999998,0.01,937,1255200,300.0,1338,4184,0.009081291034817696,12151,0.0001
1.06813057,0.01,938,1256400,300.0,1339,4188,0.0038504600524902344,12163,0.0001
0.83931827,0.01,938,1257600,300.0,1339,4192,0.005228705704212189,12175,0.0001
0.42071276999999996,0.01,939,1258800,300.0,1340,4196,0.006730586290359497,12187,0.0001
0.10105125000000026,0.01,939,1260000,300.0,1341,4200,0.005232104100286961,12199,0.0001
-0.40492883999999985,0.01,939,1261200,300.0,1342,4204,0.004703581798821688,12211,0.0001
-0.11809161000000015,0.01,939,1262400,300.0,1343,4208,0.005091107450425625,12223,0.0001
-0.15835282000000006,0.01,940,1263600,300.0,1343,4212,0.008586539886891842,12235,0.0001
-0.46811636000000006,0.01,940,1264800,300.0,1344,4216,0.00760855944827199,12247,0.0001
-0.48584456000000015,0.01,941,1266000,300.0,1345,4220,0.004722632467746735,12259,0.0001
-0.39978298999999984,0.01,941,1267200,300.0,1346,4224,0.008785697631537914,12271,0.0001
-0.9030896299999999,0.01,941,1268400,300.0,1347,4228,0.0070597329176962376,12283,0.0001
-0.039127879999999865,0.01,942,1269600,300.0,1347,4232,0.0057525550946593285,12295,0.0001
-0.06901401999999995,0.01,942,1270800,300.0,1348,4236,0.005029782652854919,12307,0.0001
0.03760207999999988,0.01,942,1272000,300.0,1349,4240,0.005605289712548256,12319,0.0001
0.07151621999999995,0.01,943,1273200,300.0,1349,4244,0.007576195988804102,12331,0.0001
-0.2494087100000001,0.01,943,1274400,300.0,1350,4248,0.0064458465203642845,12343,0.0001
-0.0510959900000001,0.01,943,1275600,300.0,1351,4252,0.006982059683650732,12355,0.0001
-0.030031919999999986,0.01,944,1276800,300.0,1352,4256,0.0037455004639923573,12367,0.0001
-0.1184924699999999,0.01,944,1278000,300.0,1352,4260,0.006074391305446625,12379,0.0001
0.28068843,0.01,945,1279200,300.0,1353,4264,0.007134005427360535,12391,0.0001
0.6071864499999999,0.01,945,1280400,300.0,1354,4268,0.005317430943250656,12403,0.0001
0.4804355699999998,0.01,945,1281600,300.0,1354,4272,0.0038160113617777824,12415,0.0001
0.5856170799999998,0.01,946,1282800,300.0,1355,4276,0.006703936494886875,12427,0.0001
0.24622696999999988,0.01,946,1284000,300.0,1356,4280,0.005360249895602465,12439,0.0001
0.4885161299999999,0.01,947,1285200,300.0,1357,4284,0.005075949244201183,12451,0.0001
0.14122881000000015,0.01,947,1286400,300.0,1357,4288,0.013960715383291245,12463,0.0001
0.3097596800000001,0.01,947,1287600,300.0,1358,4292,0.005542733706533909,12475,0.0001
0.5126792399999998,0.01,948,1288800,300.0,1359,4296,0.004147659055888653,12487,0.0001
0.5656713099999999,0.01,948,1290000,300.0,1359,4300,0.008754406124353409,12499,0.0001
0.7165726699999999,0.01,948,1291200,300.0,1360,4304,0.005187102593481541,12511,0.0001
0.53000916,0.01,949,1292400,300.0,1361,4308,0.005586892366409302,12523,0.0001
0.8672263100000001,0.01,949,1293600,300.0,1362,4312,0.003873957321047783,12535,0.0001
0.8721099199999999,0.01,949,1294800,300.0,1363,4316,0.0055782375857234,12547,0.0001
1.1136767999999997,0.01,950,1296000,300.0,1363,4320,0.005163917783647776,12559,0.0001
1.37608155,0.01,950,1297200,300.0,1364,4324,0.006156481336802244,12571,0.0001
2.06772013,0.01,950,1298400,300.0,1365,4328,0.003408879041671753,12583,0.0001
1.5836153699999997,0.01,951,1299600,300.0,1366,4332,0.00750966090708971,12595,0.0001
1.6863809099999998,0.01,913,1300800,300.0,1423,4336,0.004046622663736343,12607,0.0001
1.6089473299999997,0.01,914,1302000,300.0,1424,4340,0.007390547543764114,12619,0.0001
1.6775681400000004,0.01,914,1303200,300.0,1425,4344,0.007702421396970749,12631,0.0001
1.4984093000000005,0.01,914,1304400,300.0,1425,4348,0.004505414515733719,12643,0.0001
1.11100749,0.01,915,1305600,300.0,1426,4352,0.0037849589716643095,12655,0.0001
1.2437738800000002,0.01,915,1306800,300.0,1427,4356,0.008062428794801235,12667,0.0001
1.18334176,0.01,915,1308000,300.0,1428,4360,0.006024920381605625,12679,0.0001
0.7838201599999999,0.01,916,1309200,300.0,1428,4364,0.004104927182197571,12691,0.0001
0.68571182,0.01,916,1310400,300.0,1429,4368,0.0036374065093696117,12703,0.0001
0.71959942,0.01,916,1311600,300.0,1430,4372,0.0048475502990186214,12715,0.0001
1.17943069,0.01,917,1312800,300.0,1431,4376,0.005009420216083527,12727,0.0001
1.1513760000000002,0.01,917,1314000,300.0,1432,4380,0.007111595012247562,12739,0.0001
1.0980553300000002,0.01,917,1315200,300.0,1433,4384,0.006482378579676151,12751,0.0001
1.3159561699999998,0.01,918,1316400,300.0,1433,4388,0.007554579526185989,12763,0.0001
1.0544888899999996,0.01,918,1317600,300.0,1434,4392,0.005165599752217531,12775,0.0001
1.2928999399999999,0.01,918,1318800,300.0,1435,4396,0.00423816591501236,12787,0.0001
0.99945671,0.01,919,1320000,300.0,1436,4400,0.006657151971012354,12799,0.0001
0.8941988099999998,0.01,919,1321200,300.0,1437,4404,0.007885759696364403,12811,0.0001
0.7604032600000002,0.01,919,1322400,300.0,1437,4408,0.005128917284309864,12823,0.0001
0.8653618100000001,0.01,920,1323600,300.0,1438,4412,0.005001559387892485,12835,0.0001
1.2747553900000002,0.01,920,1324800,300.0,1439,4416,0.005850645247846842,12847,0.0001
0.84301287,0.01,920,1326000,300.0,1440,4420,0.006093968637287617,12859,0.0001
0.40649517000000024,0.01,921,1327200,300.0,1440,4424,0.0054497988894581795,12871,0.0001
0.5786538600000001,0.01,921,1328400,300.0,1441,4428,0.004420551937073469,12883,0.0001
0.5756394099999999,0.01,921,1329600,300.0,1442,4432,0.004515463951975107,12895,0.0001
