time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss
581,1564672,764,2690,-0.75350828,300.0,-0.5808903158642351,0.08239492774009705,0.4005352854728699,0.062498983,0.31006117509678005,0.0003,7630,0.2,0.248681640625,-0.043902814848115666
581,1566720,765,2693,-0.43817684000000034,300.0,-0.5911211255937815,0.08074633777141571,0.4296520948410034,0.05278794,0.3785001972224563,0.0003,7640,0.2,0.23427734375,-0.04456711799721234
581,1568768,766,2695,-0.8915022300000003,300.0,-0.6070280640386045,0.15326134860515594,0.4522739052772522,0.049736366,0.42484952858649194,0.0003,7650,0.2,0.24775390625,-0.039757309616834394
582,1570816,767,2697,-1.74711693,300.0,-0.5718891008757054,-0.04645482078194618,0.7297487258911133,0.06942752,0.1206052957335487,0.0003,7660,0.2,0.2658203125,-0.04921490405395161
582,1572864,768,2700,-2.1281039100000005,300.0,-0.611830466426909,0.1812095046043396,0.4858313202857971,0.052436743,0.35306426864117385,0.0003,7670,0.2,0.246484375,-0.042067078093532474
582,1574912,769,2702,-2.34357838,300.0,-0.5914605611935257,0.2470264881849289,0.4265299439430237,0.05032579,0.6333104515448212,0.0003,7680,0.2,0.234765625,-0.041124240815406665
583,1576960,770,2704,-2.3960037799999996,300.0,-0.5990347584709526,0.1150323748588562,0.5513060092926025,0.05176851,0.36140067130327225,0.0003,7690,0.2,0.250634765625,-0.044702148388023485
583,1579008,771,2706,-1.84352406,300.0,-0.6140202366746962,0.19701805710792542,0.47616463899612427,0.049313024,0.4986754884943366,0.0003,7700,0.2,0.243212890625,-0.04255913775414229
583,1581056,772,2708,-2.07119363,300.0,-0.6063464328646659,0.019699640572071075,0.6551568508148193,0.048999563,0.28613484571687875,0.0003,7710,0.2,0.258544921875,-0.047108061914332214
584,1583104,773,2710,-1.2842702600000002,300.0,-0.6028044873848557,0.04747898504137993,0.31933367252349854,0.06725781,0.261774045182392,0.0003,7720,0.2,0.2515625,-0.042518730464507826
584,1585152,774,2712,-1.45213987,300.0,-0.6086179287172854,0.07480350881814957,0.47907984256744385,0.048636593,0.3475077552255243,0.0003,7730,0.2,0.256201171875,-0.04410480353108141
584,1587200,775,2715,-0.99397189,300.0,-0.592012573312968,0.025537759065628052,0.4975464940071106,0.053755492,0.2568962442222983,0.0003,7740,0.2,0.24365234375,-0.04254239894798957
584,1589248,776,2717,-0.62620017,300.0,-0.5826935206539929,0.18901659548282623,0.1652507185935974,0.04760611,0.4940285339951515,0.0003,7750,0.2,0.24306640625,-0.04184776302136015
585,1591296,777,2719,-0.26551243,300.0,-0.6183042171411216,0.10291323810815811,0.3360031843185425,0.05000087,0.4534335732460022,0.0003,7760,0.2,0.240478515625,-0.04664222677529324
585,1593344,778,2722,-0.26051488000000006,300.0,-0.5900250993669033,0.11858312040567398,0.39789271354675293,0.050877787,0.44830736075527966,0.0003,7770,0.2,0.22978515625,-0.03956917924515437
585,1595392,779,2724,-0.18248136000000004,300.0,-0.6191540788859129,0.12940365076065063,0.10736817121505737,0.043806233,0.4616838977206498,0.0003,7780,0.2,0.244384765625,-0.04059886663744692
585,1597440,780,2726,-0.4900403499999999,300.0,-0.5669611359946429,0.12142276018857956,0.14897793531417847,0.054898277,0.5053333780262619,0.0003,7790,0.2,0.236669921875,-0.04135127063345863
586,1599488,781,2728,0.15880238000000013,300.0,-0.5786586948670447,0.018032431602478027,0.26117080450057983,0.05397927,0.31168989758007226,0.0003,7800,0.2,0.236962890625,-0.04127030766976532
572,1601536,782,2796,0.25361400999999995,300.0,-0.5968082929030061,0.0716385617852211,0.22748053073883057,0.044694025,0.3545329003594816,0.0003,7810,0.2,0.237841796875,-0.04216082283528522
572,1603584,783,2798,0.5214586999999998,300.0,-0.596200966462493,0.12279209494590759,0.08299022912979126,0.049494788,0.36256448910571637,0.0003,7820,0.2,0.2359375,-0.044978463905863464
