time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
213,584,-0.24406482000000002,61,124928,300.0,0.0003,0.27310889959335327,-0.05425211414694786,0.01658633,0.032934674853459,-1.184845094755292,-0.0343364145301166,0.2,600,0.1662109375
217,584,-0.4468641100000001,62,126976,300.0,0.0003,0.14800482988357544,-0.032354045659303665,0.019210782,0.08206925462582149,-1.1775161255151034,-0.03461040543043055,0.2,610,0.181396484375
219,587,-0.4009928200000001,63,129024,300.0,0.0003,0.37898290157318115,-0.04834594205021858,0.01629936,0.0295065016602166,-1.1695089630782605,-0.03206987289304379,0.2,620,0.173095703125
222,590,-0.25535494999999997,64,131072,300.0,0.0003,0.36933088302612305,-0.04205291345715523,0.016705202,0.039867700659669936,-1.1861634124070406,-0.03602208550582873,0.2,630,0.171142578125
224,591,-0.43575537,65,133120,300.0,0.0003,0.2731081247329712,-0.05597829818725586,0.015884258,0.05996026134234853,-1.1807215966284275,-0.03395819488505367,0.2,640,0.164990234375
227,593,-0.40527464,66,135168,300.0,0.0003,-0.0870140790939331,-0.037107598036527634,0.018150903,0.050470627850154416,-1.194685146585107,-0.033745583750715014,0.2,650,0.173583984375
230,595,-0.61351362,67,137216,300.0,0.0003,0.28387582302093506,-0.04479755461215973,0.015907966,0.02250147333543282,-1.2070683814585208,-0.032898596467566675,0.2,660,0.171435546875
232,598,-0.48805438999999995,68,139264,300.0,0.0003,0.428794264793396,-0.06341326981782913,0.017915975,0.030405140607035717,-1.184417425468564,-0.03732525126833934,0.2,670,0.19462890625
235,600,-0.64941772,69,141312,300.0,0.0003,0.4117351770401001,-0.024810202419757843,0.016069131,0.06387823460390792,-1.154517848417163,-0.03169477486226242,0.2,680,0.15029296875
237,604,-0.6435192200000001,70,143360,300.0,0.0003,0.26325929164886475,-0.056347399950027466,0.016091341,0.032986538845580074,-1.1058561643585563,-0.03264189416659065,0.2,690,0.172998046875
239,606,-0.71602716,71,145408,300.0,0.0003,0.36404937505722046,-0.05173921585083008,0.016456332,0.041806802299106494,-1.106843145005405,-0.03374232133210171,0.2,700,0.176416015625
241,609,-0.7734029200000003,72,147456,300.0,0.0003,0.2767319083213806,-0.048478975892066956,0.020348765,0.027568213097401893,-1.0925473157316445,-0.037554508594621436,0.2,710,0.190966796875
244,611,-0.5199772100000001,73,149504,300.0,0.0003,0.4474979639053345,-0.04862965643405914,0.015052605,0.04768831937108189,-1.0833172414451837,-0.03224317305721343,0.2,720,0.154833984375
247,613,-0.5150251100000002,74,151552,300.0,0.0003,0.6234474182128906,-0.05458586663007736,0.02045301,0.030255701538408175,-1.0872123578563333,-0.034951817122055216,0.2,730,0.176220703125
250,614,-0.34615542000000005,75,153600,300.0,0.0003,0.551437497138977,-0.02248372882604599,0.018332094,0.05706044550752267,-1.107401642948389,-0.0335764219678822,0.2,740,0.170947265625
252,615,-0.17635515000000004,76,155648,300.0,0.0003,0.6532118916511536,-0.04485921561717987,0.018518938,0.04574125622166321,-1.055541966110468,-0.03191961738048121,0.2,750,0.173486328125
255,618,-0.11670777000000011,77,157696,300.0,0.0003,0.7891587018966675,-0.043069690465927124,0.0169482,0.025813763358746654,-1.0831155028194188,-0.03612588888790924,0.2,760,0.171044921875
257,620,-0.052293910000000075,78,159744,300.0,0.0003,0.5530012845993042,-0.03911295160651207,0.018564418,0.023284504376351833,-1.0676054930314423,-0.034679996545310135,0.2,770,0.163720703125
259,623,-0.03338216000000005,79,161792,300.0,0.0003,0.5563074350357056,-0.030405055731534958,0.016175998,0.02790325024689082,-1.101153439283371,-0.033956005368963815,0.2,780,0.160546875
262,624,-0.16209795999999999,80,163840,300.0,0.0003,0.28139662742614746,0.008192859590053558,0.016012061,0.11069314694032073,-1.0647647919133305,-0.03216748266131617,0.2,790,0.172509765625
265,625,-0.14185191999999996,81,165888,300.0,0.0003,0.11550205945968628,-0.042890340089797974,0.018220596,0.03778308691107668,-1.0833434361964465,-0.034557987781590783,0.2,800,0.188134765625
267,626,-0.25110233000000004,82,167936,300.0,0.0003,0.33641940355300903,-0.057938601821660995,0.02247959,0.04609272782108746,-1.088901400566101,-0.03845969808317022,0.2,810,0.198876953125
