time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
156000,520,1564,99,0.03404685000000003,300.0,0.7086037735849058,0.004857485648244619,1159,0.0001
157200,524,1569,100,-0.09590850999999997,300.0,0.7063622641509434,0.004150744993239641,1171,0.0001
158400,528,1574,100,-0.08916683999999997,300.0,0.704120754716981,0.004545213188976049,1183,0.0001
159600,532,1579,101,-0.07722898999999997,300.0,0.7018792452830189,0.0034218530636280775,1195,0.0001
160800,536,1584,101,-0.04950989000000005,300.0,0.6996377358490565,0.0036160731688141823,1207,0.0001
162000,540,1588,101,-0.14635273000000001,300.0,0.6973962264150946,0.0032565768342465162,1219,0.0001
163200,544,1592,102,-0.10031333999999999,300.0,0.6951547169811321,0.002365599852055311,1231,0.0001
164400,548,1596,102,0.037969279999999966,300.0,0.6929132075471697,0.008839867077767849,1243,0.0001
165600,552,1601,103,0.016097229999999945,300.0,0.6906716981132076,0.003475525416433811,1255,0.0001
166800,556,1606,103,0.0007238299999999421,300.0,0.6884301886792452,0.003264118218794465,1267,0.0001
168000,560,1608,104,0.16946575000000003,300.0,0.6861886792452832,0.004095803014934063,1279,0.0001
169200,564,1612,104,0.19924361000000004,300.0,0.6839471698113208,0.003659085836261511,1291,0.0001
170400,568,1616,105,0.18479357,300.0,0.6817056603773588,0.004015942569822073,1303,0.0001
171600,572,1620,105,0.10772040999999997,300.0,0.6794641509433963,0.003539068391546607,1315,0.0001
172800,576,1623,106,0.029339270000000056,300.0,0.6772226415094338,0.0042977845296263695,1327,0.0001
174000,580,1627,106,0.1465078500000001,300.0,0.6749811320754718,0.003392355516552925,1339,0.0001
175200,584,1631,107,0.016047300000000094,300.0,0.6727396226415094,0.006464910693466663,1351,0.0001
176400,588,1634,107,0.13806953000000005,300.0,0.6704981132075469,0.003376578912138939,1363,0.0001
177600,592,1637,108,0.25947359000000003,300.0,0.668256603773585,0.004063719883561134,1375,0.0001
178800,596,1640,109,0.32131147,300.0,0.6660150943396226,0.004867818206548691,1387,0.0001
180000,600,1644,109,0.37447625,300.0,0.6637735849056605,0.005770228337496519,1399,0.0001
181200,604,1647,109,0.32008937000000004,300.0,0.661532075471698,0.002966302912682295,1411,0.0001
182400,608,1652,110,0.25354458000000013,300.0,0.6592905660377361,0.006101332604885101,1423,0.0001
183600,612,1655,110,0.1844783500000001,300.0,0.6570490566037737,0.0030500979628413916,1435,0.0001
184800,616,1659,111,0.16529965000000005,300.0,0.6548075471698112,0.0063364459201693535,1447,0.0001
186000,620,1663,111,0.10563664,300.0,0.6525660377358492,0.0042383442632853985,1459,0.0001
187200,624,1666,112,0.14658876999999992,300.0,0.6503245283018868,0.0057457005605101585,1471,0.0001
188400,628,1668,112,0.12753038,300.0,0.6480830188679243,0.004744525067508221,1483,0.0001
189600,632,1672,113,0.14220030000000006,300.0,0.6458415094339622,0.0036010800395160913,1495,0.0001
190800,636,1675,113,0.21787005000000004,300.0,0.6435999999999998,0.0059514716267585754,1507,0.0001
192000,640,1679,114,0.24830483,300.0,0.6413584905660379,0.005912129767239094,1519,0.0001
193200,644,1682,114,0.05883115,300.0,0.6391169811320754,0.004707601852715015,1531,0.0001
