time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,train/loss,train/learning_rate,train/n_updates
118,0.14033306000000004,1334,300.0,0.704120754716981,158400,528,0.006917309015989304,0.0001,1183
119,0.3475764800000001,1339,300.0,0.7018792452830189,159600,532,0.005294943228363991,0.0001,1195
119,0.6112039199999999,1343,300.0,0.6996377358490565,160800,536,0.00552009604871273,0.0001,1207
120,0.7135430600000001,1347,300.0,0.6973962264150946,162000,540,0.00505449716001749,0.0001,1219
120,0.6921248600000002,1350,300.0,0.6951547169811321,163200,544,0.004139959346503019,0.0001,1231
121,0.8152724100000003,1354,300.0,0.6929132075471697,164400,548,0.01300948765128851,0.0001,1243
121,0.6642354900000004,1358,300.0,0.6906716981132076,165600,552,0.00550523167476058,0.0001,1255
122,0.4305815899999999,1362,300.0,0.6884301886792452,166800,556,0.006110122427344322,0.0001,1267
122,1.1218784099999999,1366,300.0,0.6861886792452832,168000,560,0.005964257754385471,0.0001,1279
123,0.7485279099999996,1370,300.0,0.6839471698113208,169200,564,0.005408445373177528,0.0001,1291
123,0.6827629999999997,1374,300.0,0.6817056603773588,170400,568,0.005662549287080765,0.0001,1303
124,0.9239505500000003,1377,300.0,0.6794641509433963,171600,572,0.005786450579762459,0.0001,1315
125,0.43486948000000014,1381,300.0,0.6772226415094338,172800,576,0.008194788359105587,0.0001,1327
125,0.27431412000000005,1384,300.0,0.6749811320754718,174000,580,0.006950316950678825,0.0001,1339
126,-0.05307546999999992,1386,300.0,0.6727396226415094,175200,584,0.01088434737175703,0.0001,1351
126,0.25896833,1389,300.0,0.6704981132075469,176400,588,0.005432666279375553,0.0001,1363
127,0.18350462999999995,1392,300.0,0.668256603773585,177600,592,0.00656847283244133,0.0001,1375
128,0.39297409,1395,300.0,0.6660150943396226,178800,596,0.0074622598476707935,0.0001,1387
128,0.8341134400000001,1399,300.0,0.6637735849056605,180000,600,0.009444301947951317,0.0001,1399
129,0.7635504300000001,1403,300.0,0.661532075471698,181200,604,0.00701414467766881,0.0001,1411
129,0.2529457599999998,1406,300.0,0.6592905660377361,182400,608,0.01129487156867981,0.0001,1423
130,0.35485698999999987,1409,300.0,0.6570490566037737,183600,612,0.004472598899155855,0.0001,1435
130,0.57614231,1413,300.0,0.6548075471698112,184800,616,0.010448973625898361,0.0001,1447
131,1.0141977199999999,1415,300.0,0.6525660377358492,186000,620,0.006658084690570831,0.0001,1459
131,0.9107568399999998,1419,300.0,0.6503245283018868,187200,624,0.00873885490000248,0.0001,1471
132,0.61147383,1422,300.0,0.6480830188679243,188400,628,0.008117699064314365,0.0001,1483
132,0.65972085,1425,300.0,0.6458415094339622,189600,632,0.007397138979285955,0.0001,1495
