time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/clip_range
640,194560,300.0,0.12507440000000006,95,303,0.195166015625,0.14439094066619873,0.019384287,-0.037314925732789564,-1.1936349164694549,940,-0.06267733126878738,0.0003,0.03402327981311828,0.2
638,196608,300.0,0.22938470000000002,96,308,0.185693359375,0.006368517875671387,0.018523358,-0.037617299905105026,-1.166330185160041,950,-0.01480085402727127,0.0003,0.08166931415908038,0.2
638,198656,300.0,0.24348666000000002,97,311,0.209423828125,-0.08723664283752441,0.022051241,-0.039922490791650486,-1.1716267623007297,960,-0.05184506997466087,0.0003,0.047985664760926736,0.2
535,200704,300.0,0.43952819000000004,98,375,0.194873046875,-0.046913743019104004,0.019452047,-0.03803092527086847,-1.1685966482385992,970,-0.03408503159880638,0.0003,0.034348921763012186,0.2
536,202752,300.0,0.44332748,99,378,0.1966796875,0.07515197992324829,0.01984993,-0.037403188542521094,-1.1543078016489745,980,-0.04905826598405838,0.0003,0.0461892495455686,0.2
537,204800,300.0,0.43580139,100,380,0.194140625,0.07960003614425659,0.0183006,-0.04041166009556037,-1.1532164327800274,990,-0.04929663985967636,0.0003,0.04493409528513439,0.2
538,206848,300.0,0.32209418999999995,101,384,0.193115234375,0.34230345487594604,0.024824714,-0.03782453561725561,-1.1503686809912324,1000,-0.05939912050962448,0.0003,0.02538365623622667,0.2
540,208896,300.0,0.27973803,102,386,0.201318359375,0.3894885182380676,0.020890929,-0.040614665756584144,-1.141995936818421,1010,-0.06577983498573303,0.0003,0.04587321275030263,0.2
542,210944,300.0,0.28423609000000005,103,388,0.19658203125,0.351554274559021,0.01921289,-0.0395138103805948,-1.1510785732418298,1020,-0.04523726552724838,0.0003,0.05039123110473156,0.2
545,212992,300.0,0.30328826,104,390,0.211474609375,0.20479243993759155,0.022316389,-0.03861948184930952,-1.1576728623360395,1030,-0.0343647301197052,0.0003,0.061809882731176914,0.2
547,215040,300.0,0.17591964000000002,105,392,0.2171875,0.3495878577232361,0.021923844,-0.041733051717164925,-1.1528184089809657,1040,-0.033312465995550156,0.0003,0.044236876111244786,0.2
549,217088,300.0,0.12101833999999999,106,395,0.20068359375,0.33635056018829346,0.020950958,-0.04081892552640056,-1.1621043622493743,1050,-0.057862788438797,0.0003,0.024162288798834197,0.2
550,219136,300.0,-0.006149440000000022,107,398,0.188427734375,0.24528604745864868,0.018483259,-0.03902393495081924,-1.1714021801948546,1060,-0.045934420078992844,0.0003,0.07739147547399625,0.2
552,221184,300.0,-0.02155730000000005,108,400,0.219677734375,0.06117427349090576,0.02212777,-0.04342639897658955,-1.185340577736497,1070,-0.029764968901872635,0.0003,0.07103670182405039,0.2
554,223232,300.0,0.11794222999999988,109,402,0.19296875,0.09736526012420654,0.018618546,-0.03889752427203348,-1.169029749929905,1080,-0.030374333262443542,0.0003,0.09682267925236374,0.2
556,225280,300.0,-0.0900302300000001,110,404,0.183349609375,0.06185650825500488,0.017621368,-0.03734810735913925,-1.1748620558530092,1090,-0.04678938165307045,0.0003,0.06373504074290395,0.2
553,227328,300.0,-0.2927254400000001,111,410,0.201416015625,0.16563618183135986,0.019707242,-0.03993438808538485,-1.1997050628066064,1100,-0.03733726590871811,0.0003,0.08813577698310837,0.2
552,229376,300.0,-0.40265060999999996,112,414,0.200537109375,0.3702288866043091,0.021078281,-0.04207400679879356,-1.1793321006000042,1110,-0.07283511757850647,0.0003,0.02302751162205823,0.2
548,231424,300.0,-0.40231859999999997,113,421,0.209228515625,0.33973729610443115,0.020929262,-0.041550913208629935,-1.1614988695830106,1120,-0.050972938537597656,0.0003,0.016829964486532845,0.2
548,233472,300.0,-0.43873703999999997,114,425,0.23212890625,0.4405037760734558,0.02293637,-0.04059477674891241,-1.1513548843562602,1130,-0.03866150230169296,0.0003,0.03136570533388294,0.2
546,235520,300.0,-0.47677317,115,430,0.1927734375,0.398210346698761,0.01985389,-0.03751903945521917,-1.1484801597893237,1140,-0.056944653391838074,0.0003,0.030408364668255673,0.2
546,237568,300.0,-0.42903478000000006,116,434,0.206689453125,0.04065358638763428,0.02090222,-0.040304742789885495,-1.1333629947155714,1150,-0.0694422721862793,0.0003,0.04201130780857056,0.2
547,239616,300.0,-0.4378931800000001,117,437,0.19150390625,0.06391805410385132,0.019843213,-0.041869210443110205,-1.131220518425107,1160,-0.04102426394820213,0.0003,0.04292270636069588,0.2
547,241664,300.0,-0.38321878000000004,118,441,0.196630859375,0.03229039907455444,0.021311676,-0.03934440834564157,-1.1405730497092008,1170,-0.06450396031141281,0.0003,0.0285811133304378,0.2
543,243712,300.0,-0.17805858000000008,119,448,0.211669921875,0.06774705648422241,0.021693774,-0.040182016007020135,-1.09691271930933,1180,-0.04896082356572151,0.0003,0.07895230979193002,0.2
541,245760,300.0,-0.08827376,120,453,0.210107421875,0.095924973487854,0.022282377,-0.04111883579753339,-1.1036367613822222,1190,-0.046333201229572296,0.0003,0.08726053002756089,0.2
538,247808,300.0,-0.047418670000000045,121,460,0.198583984375,0.3207690715789795,0.022534242,-0.03981837164610624,-1.1065226230770349,1200,-0.04426755756139755,0.0003,0.034668291261186826,0.2
538,249856,300.0,-0.0025827300000000066,122,463,0.19267578125,0.13464593887329102,0.020414472,-0.03767361768404953,-1.1120147321373224,1210,-0.0643579512834549,0.0003,0.04209040694404394,0.2
538,251904,300.0,0.027968199999999915,123,467,0.179541015625,0.15587252378463745,0.020340798,-0.037268560934171545,-1.1239798210561276,1220,-0.03509201109409332,0.0003,0.10362060413463041,0.2
538,253952,300.0,0.1901262,124,471,0.1919921875,0.10638248920440674,0.020467384,-0.03979299277852988,-1.1005861558020116,1230,-0.04151172935962677,0.0003,0.0393983862188179,0.2
537,256000,300.0,0.39924935000000006,125,476,0.21064453125,0.1041494607925415,0.024697877,-0.04082238391565625,-1.1336078733205794,1240,-0.03687328100204468,0.0003,0.09739871555939317,0.2
538,258048,300.0,0.47259997999999986,126,479,0.21591796875,0.3081127405166626,0.021987272,-0.04201550087454962,-1.1354472752660514,1250,-0.07528965920209885,0.0003,0.036684576043626294,0.2
539,260096,300.0,0.53468765,127,482,0.18125,0.2737916111946106,0.021139648,-0.038359296310227366,-1.1324441649019719,1260,-0.05785233899950981,0.0003,0.041891897714231165,0.2
537,262144,300.0,0.6058419400000001,128,487,0.215576171875,0.34423118829727173,0.021862999,-0.041357291728490966,-1.1364357743412257,1270,-0.06852391362190247,0.0003,0.04255081638111733,0.2
539,264192,300.0,0.7416346700000002,129,490,0.22060546875,0.2600739598274231,0.021054585,-0.03899684800271643,-1.103229428268969,1280,-0.04619678109884262,0.0003,0.053389966778922826,0.2
540,266240,300.0,0.8539490800000001,130,492,0.207177734375,0.6021138429641724,0.024893608,-0.04324719596188516,-1.1224727401509882,1290,-0.07212065160274506,0.0003,0.022646052998607048,0.2
541,268288,300.0,0.84367188,131,495,0.2146484375,0.36478227376937866,0.025071368,-0.041646403889171776,-1.100630500726402,1300,-0.020309627056121826,0.0003,0.08263542263302952,0.2
542,270336,300.0,0.9323028400000001,132,498,0.21396484375,0.5257536768913269,0.022398198,-0.04291307193634566,-1.098512881435454,1310,-0.06921690702438354,0.0003,0.02270501560124103,0.2
544,272384,300.0,0.9603106,133,499,0.1984375,0.4952966570854187,0.020233147,-0.04159820896456949,-1.1118647772818804,1320,-0.045952364802360535,0.0003,0.03689783994923346,0.2
546,274432,300.0,0.7956809300000001,134,502,0.217138671875,0.5278266072273254,0.02532237,-0.04216178910719463,-1.1073190610855819,1330,-0.04990632086992264,0.0003,0.03150754350353964,0.2
547,276480,300.0,0.75585769,135,504,0.1947265625,0.4075365662574768,0.022326099,-0.04130757433013059,-1.1280410667881369,1340,-0.05416738614439964,0.0003,0.06892794190207496,0.2
549,278528,300.0,0.7558288999999998,136,506,0.20380859375,0.6572622060775757,0.02122369,-0.04265002263855422,-1.105273722112179,1350,-0.026744237169623375,0.0003,0.04278684729360975,0.2
551,280576,300.0,0.7378434500000001,137,509,0.199853515625,0.5417423844337463,0.021024797,-0.039442867555771956,-1.1243992960080504,1360,-0.049683578312397,0.0003,0.041504603385692465,0.2
552,282624,300.0,0.7697654399999999,138,511,0.20478515625,0.5935115814208984,0.021643646,-0.04194699150684755,-1.1158459287136793,1370,-0.03812892362475395,0.0003,0.05087077865609899,0.2
554,284672,300.0,0.6894531999999998,139,513,0.216015625,0.4015272855758667,0.026131898,-0.044659689179388805,-1.1058202799409629,1380,-0.01663636416196823,0.0003,0.11835885993205011,0.2
556,286720,300.0,0.57192033,140,515,0.190283203125,0.42490720748901367,0.020163994,-0.036910043643729296,-1.1034291062504054,1390,-0.033338941633701324,0.0003,0.07781298980116844,0.2
557,288768,300.0,0.6306929099999999,141,518,0.2033203125,0.6911988258361816,0.024205849,-0.04192599812522531,-1.1067706398665904,1400,-0.08626647293567657,0.0003,0.02380031380453147,0.2
558,290816,300.0,0.5885568,142,520,0.196044921875,0.6107876896858215,0.020067304,-0.040065263526048514,-1.080718738399446,1410,-0.07537146657705307,0.0003,0.033562200277810914,0.2
560,292864,300.0,0.43778624,143,522,0.196826171875,0.16458666324615479,0.019932743,-0.03855117183120456,-1.1142281146720052,1420,-0.029422681778669357,0.0003,0.10253401112277061,0.2
561,294912,300.0,0.47414396000000003,144,525,0.1923828125,0.4820519685745239,0.021279555,-0.04099458585551474,-1.129129869863391,1430,-0.04028487205505371,0.0003,0.04068598884623498,0.2
