time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
185,300.0,63,129024,693,0.8181173700000002,0.15537109375,-1.3053646687418223,0.015398117,-0.03045524426706834,0.2,0.2874179184436798,0.0003,0.6617055484093726,0.13164252042770386,620
187,300.0,64,131072,697,0.9259234500000001,0.16416015625,-1.3296561367809772,0.015604521,-0.03388579663296696,0.2,0.07086194306612015,0.0003,0.34970366102643313,0.28205162286758423,630
189,300.0,65,133120,701,0.7747270199999999,0.1818359375,-1.3194961618632077,0.015678965,-0.0321626307675615,0.2,0.09539656341075897,0.0003,0.2755512861767784,0.2277417778968811,640
191,300.0,66,135168,704,0.6584085600000001,0.199853515625,-1.3289812713861466,0.01783723,-0.03799118270108011,0.2,0.019199900329113007,0.0003,0.22101205403450877,0.4119701385498047,650
194,300.0,67,137216,707,0.71395182,0.1822265625,-1.3191188596189023,0.017058153,-0.036264084937283766,0.2,0.22149509191513062,0.0003,0.6246960246935487,0.17680573463439941,660
196,300.0,68,139264,710,1.32017075,0.204345703125,-1.2938146341592074,0.020314775,-0.036613926096470094,0.2,0.10147489607334137,0.0003,0.3445650522597134,0.2591293454170227,670
198,300.0,69,141312,713,1.0066488699999998,0.183642578125,-1.2987365428358317,0.01658997,-0.03403369815205224,0.2,0.10699562728404999,0.0003,0.3030070282053202,0.23467892408370972,680
199,300.0,70,143360,716,0.9565485299999998,0.18359375,-1.3146834418177604,0.015931915,-0.03450266330619343,0.2,0.06059810519218445,0.0003,0.30736251748166976,0.2974913716316223,690
202,300.0,71,145408,719,0.8543338300000001,0.197509765625,-1.2866161156445741,0.020546267,-0.03715218122670194,0.2,0.034822866320610046,0.0003,0.22649901364929975,0.38735431432724,700
204,300.0,72,147456,721,1.1678232,0.16796875,-1.296830778196454,0.015354134,-0.03428044515603688,0.2,0.05810067057609558,0.0003,0.3055624672677368,0.274263858795166,710
206,300.0,73,149504,723,1.1209116700000001,0.188525390625,-1.2961693450808525,0.017868433,-0.03658652809390332,0.2,0.05922868847846985,0.0003,0.2653405772289261,0.03303062915802002,720
208,300.0,74,151552,726,0.7919446900000001,0.175927734375,-1.3004404615610838,0.017807424,-0.038090024871053174,0.2,0.04378516227006912,0.0003,0.2652465988416225,0.1051444411277771,730
210,300.0,75,153600,729,0.9053619,0.193408203125,-1.3159793332219123,0.017751016,-0.03750547568488401,0.2,0.0957874208688736,0.0003,0.3702315589878708,0.10089153051376343,740
