time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss
442,545,241664,-0.13865024,118,300.0,0.0003,0.025298692,-0.03858964008104522,0.018274746913812125,0.1440790891647339,1170,0.2,-0.06457923352718353,0.208984375,-1.117567783780396
449,542,243712,-0.18217977999999996,119,300.0,0.0003,0.018994976,-0.03558068682468729,0.13795953365042807,0.14101368188858032,1180,0.2,-0.024036768823862076,0.182177734375,-1.115290680900216
454,541,245760,-0.04556350999999997,120,300.0,0.0003,0.022580843,-0.04069369949575048,0.0402853113017045,0.18025797605514526,1190,0.2,-0.0523410327732563,0.20615234375,-1.072436068765819
460,537,247808,-0.14095080999999998,121,300.0,0.0003,0.018920485,-0.034913032676558944,0.028807658032746986,0.3056780695915222,1200,0.2,-0.04059244692325592,0.1904296875,-1.1010302597656847
464,537,249856,-0.25480151999999995,122,300.0,0.0003,0.024752777,-0.03742009069246706,0.043981873721349984,0.2862849831581116,1210,0.2,-0.04129663109779358,0.209130859375,-1.0663739843294024
468,538,251904,-0.19159416999999998,123,300.0,0.0003,0.021846367,-0.035834757471457125,0.05020901848329231,0.18688607215881348,1220,0.2,-0.03309622034430504,0.2072265625,-1.0582768933847546
471,538,253952,-0.21421051999999996,124,300.0,0.0003,0.021168727,-0.03443260946078226,0.05862422282807529,0.3132949471473694,1230,0.2,-0.025374915450811386,0.195654296875,-1.0672487959265708
476,537,256000,-0.25639830999999996,125,300.0,0.0003,0.027347796,-0.03957435060583521,0.04600714071420953,0.42026054859161377,1240,0.2,-0.04534647986292839,0.205615234375,-1.0749161344021558
479,538,258048,-0.33556911999999994,126,300.0,0.0003,0.019298088,-0.03554906361678149,0.0360984442231711,0.28400158882141113,1250,0.2,-0.0515732616186142,0.1779296875,-1.0696653766557573
482,538,260096,-0.3405799599999999,127,300.0,0.0003,0.021746693,-0.03609246314736083,0.06934512425214052,0.2432307004928589,1260,0.2,-0.05748894065618515,0.19599609375,-1.0566150268539787
487,537,262144,-0.41214462999999996,128,300.0,0.0003,0.022999449,-0.03214738402166404,0.05155337970354594,0.31493568420410156,1270,0.2,-0.04733632877469063,0.197900390625,-1.0522741986438633
490,538,264192,-0.5011251100000002,129,300.0,0.0003,0.022948414,-0.03827193561883178,0.03018159214989282,0.518273115158081,1280,0.2,-0.02865184284746647,0.198583984375,-1.0370615998283028
493,539,266240,-0.4412435399999999,130,300.0,0.0003,0.025525913,-0.04055786468670704,0.03020931925275363,0.3868889808654785,1290,0.2,-0.0747864693403244,0.213916015625,-1.0043968046084046
495,541,268288,-0.26409783,131,300.0,0.0003,0.026327195,-0.03914279943855945,0.0581242629676126,0.25467604398727417,1300,0.2,-0.04311278834939003,0.221240234375,-1.0186684457585216
498,542,270336,-0.20519129999999994,132,300.0,0.0003,0.02544061,-0.04100288651243318,0.025656605110270903,0.5548668503761292,1310,0.2,-0.06533078104257584,0.221826171875,-1.0479080440476536
500,544,272384,-0.060662280000000006,133,300.0,0.0003,0.020356085,-0.03421699551836355,0.05128584266058169,0.37348395586013794,1320,0.2,-0.030161993578076363,0.204345703125,-1.0710253139957786
502,545,274432,-0.05190178999999997,134,300.0,0.0003,0.025133435,-0.04000961736746831,0.05943015442462638,0.339526891708374,1330,0.2,-0.040253620594739914,0.20771484375,-1.0657715514302253
505,547,276480,0.007882440000000055,135,300.0,0.0003,0.021485608,-0.03611685743235284,0.05019066219683736,0.19330108165740967,1340,0.2,-0.04934161156415939,0.188525390625,-1.073542212508619
507,549,278528,0.11531707000000005,136,300.0,0.0003,0.03004466,-0.04283397390245227,0.0376865335740149,0.4179467558860779,1350,0.2,-0.061013635247945786,0.24150390625,-1.043420747667551
509,550,280576,0.25854887000000004,137,300.0,0.0003,0.021009367,-0.036640661378623915,0.049198995158076284,0.2572476863861084,1360,0.2,-0.0368744358420372,0.18828125,-1.0411046074703336
511,552,282624,0.4554505500000001,138,300.0,0.0003,0.022344142,-0.04005824674095493,0.08323782457737253,0.14833569526672363,1370,0.2,-0.02222244068980217,0.209912109375,-1.074546605348587
513,554,284672,0.40925362,139,300.0,0.0003,0.024400622,-0.038848533482814675,0.031118906720075758,0.42333757877349854,1380,0.2,-0.06838466227054596,0.214453125,-1.053420496173203
515,555,286720,0.49758655000000007,140,300.0,0.0003,0.024307953,-0.03910864488861989,0.04077554620453157,0.39023154973983765,1390,0.2,-0.043366070836782455,0.217333984375,-1.0433181440457702
518,557,288768,0.419274,141,300.0,0.0003,0.028455865,-0.03724911303143017,0.059981134574627504,0.24568921327590942,1400,0.2,-0.03421967849135399,0.23427734375,-1.0247768443077803
520,558,290816,0.45217412,142,300.0,0.0003,0.022667963,-0.039159095959621484,0.168152222991921,0.11185681819915771,1410,0.2,-0.0033415555953979492,0.208837890625,-1.0515756880864502
522,560,292864,0.3676294900000001,143,300.0,0.0003,0.024236511,-0.034575250440684616,0.019098374771419912,0.4388890266418457,1420,0.2,-0.06364860385656357,0.200146484375,-1.0279001880437135
525,561,294912,0.37309798000000005,144,300.0,0.0003,0.023463853,-0.03782930408779066,0.04645322791766375,0.2466532588005066,1430,0.2,-0.05122528597712517,0.203662109375,-1.0431729162111878
527,562,296960,0.16390303000000006,145,300.0,0.0003,0.02267803,-0.035401948291109875,0.08312365730525925,0.11893367767333984,1440,0.2,-0.02528594434261322,0.203466796875,-1.0543195156380534
529,564,299008,0.26755347000000007,146,300.0,0.0003,0.022879073,-0.040206598246004435,0.02272678576700855,0.3136855959892273,1450,0.2,-0.08509059250354767,0.2111328125,-1.0381602004170418
591,509,301056,0.13566287999999993,147,300.0,0.0003,0.024681278,-0.03804580052528763,0.020310034658177756,-0.05015146732330322,1460,0.2,-0.06694971024990082,0.202587890625,-1.0646817598491907
594,510,303104,0.14982198999999996,148,300.0,0.0003,0.02317566,-0.03792594360566,0.07945663041900844,0.08227527141571045,1470,0.2,0.004586338996887207,0.21484375,-1.052791884727776
596,511,305152,-0.04129831999999996,149,300.0,0.0003,0.02388618,-0.04041144262300804,0.04079404182266444,-0.134773850440979,1480,0.2,-0.07363936305046082,0.213232421875,-1.0385401099920273
598,513,307200,0.03439347000000001,150,300.0,0.0003,0.024960201,-0.03811703637184109,0.07219201390398666,0.04317426681518555,1490,0.2,-0.028946304693818092,0.2193359375,-1.0562480628490447
600,514,309248,0.013729460000000002,151,300.0,0.0003,0.021614008,-0.03419737302174326,0.08132010811241344,0.11731278896331787,1500,0.2,0.005586467683315277,0.21171875,-1.0523085517808795
604,515,311296,-0.16472932999999995,152,300.0,0.0003,0.024608688,-0.0342737231272622,0.06012658739928156,0.06038343906402588,1510,0.2,-0.026624394580721855,0.20390625,-1.0341663712635636
606,516,313344,-0.24546892,153,300.0,0.0003,0.022975914,-0.034015772130806,0.05495670932577923,0.05274397134780884,1520,0.2,-0.031956449151039124,0.2123046875,-1.0371552860364317
609,517,315392,-0.25054871,154,300.0,0.0003,0.030537445,-0.03751946311676875,0.07673196393297985,0.015985488891601562,1530,0.2,-0.03407767787575722,0.216259765625,-1.0327639957889914
611,519,317440,-0.19054338000000004,155,300.0,0.0003,0.026423976,-0.03870243277051486,0.07087338485289366,0.01104593276977539,1540,0.2,-0.026461340487003326,0.2146484375,-1.0343259986490012
613,520,319488,-0.27372999,156,300.0,0.0003,0.025188059,-0.04059491365624126,0.05666793207637966,0.03791701793670654,1550,0.2,-0.05608462542295456,0.232421875,-1.032719535753131
615,522,321536,-0.18316468,157,300.0,0.0003,0.025135603,-0.03542420376616064,0.07715543797239661,0.017052173614501953,1560,0.2,-0.03489825129508972,0.2119140625,-1.0079875813797117
618,523,323584,-0.049507369999999995,158,300.0,0.0003,0.02772789,-0.03911211272643413,0.05202226595720276,-0.18905997276306152,1570,0.2,-0.0693645104765892,0.229150390625,-1.0262539669871331
620,524,325632,-0.1809718,159,300.0,0.0003,0.025894333,-0.032061684713698926,0.05371184017276391,-0.021643638610839844,1580,0.2,-0.044548891484737396,0.21083984375,-1.0165599709376694
622,526,327680,-0.1940968,160,300.0,0.0003,0.02691764,-0.04033128860173747,0.03817368696909398,0.04129689931869507,1590,0.2,-0.03568951040506363,0.22060546875,-1.0011167492717505
625,527,329728,0.051842010000000036,161,300.0,0.0003,0.026159767,-0.037750130920903756,0.027068531914846972,0.15984445810317993,1600,0.2,-0.05733199417591095,0.236474609375,-1.0168075870722533
627,529,331776,-0.04967279000000005,162,300.0,0.0003,0.025965843,-0.03902146907348651,0.04452165793045424,0.046570539474487305,1610,0.2,-0.018615076318383217,0.212158203125,-1.0048583265393973
629,530,333824,0.03772055000000003,163,300.0,0.0003,0.022927163,-0.039774634581408466,0.024567044636933134,0.082783043384552,1620,0.2,-0.01990034058690071,0.219873046875,-1.0441282838582993
631,531,335872,-0.11973065000000004,164,300.0,0.0003,0.024083858,-0.03935708256612998,0.009281637135427446,0.27788257598876953,1630,0.2,-0.060260314494371414,0.214013671875,-1.0211263475939631
633,533,337920,-0.15931672000000005,165,300.0,0.0003,0.026317578,-0.03957969049952226,0.04292177432507742,0.0031538009643554688,1640,0.2,-0.05610588565468788,0.2224609375,-1.0210424352437257
636,534,339968,-0.2456419800000001,166,300.0,0.0003,0.022035105,-0.04061478402290959,0.06503633429529146,0.007042646408081055,1650,0.2,-0.02651946246623993,0.198828125,-1.0175008814781905
638,535,342016,-0.27043957,167,300.0,0.0003,0.028324522,-0.03909641563950572,0.01295601866877405,0.207197904586792,1660,0.2,-0.06347132474184036,0.215234375,-0.9934827221557498
640,536,344064,-0.30538750000000003,168,300.0,0.0003,0.027210586,-0.03847437007934786,0.03543233639211394,0.008431673049926758,1670,0.2,-0.029760291799902916,0.22099609375,-1.0536645011976362
643,538,346112,-0.29229666000000004,169,300.0,0.0003,0.025817435,-0.041338437507511115,0.04391784420586191,0.1243290901184082,1680,0.2,-0.04196210950613022,0.24248046875,-1.0700636696070434
645,539,348160,-0.2924194400000001,170,300.0,0.0003,0.02619131,-0.040170670798397624,0.041945540864253415,0.03978407382965088,1690,0.2,-0.06188228353857994,0.2212890625,-1.0515011033043264
647,540,350208,-0.25435329000000007,171,300.0,0.0003,0.023448907,-0.03692426315101329,0.0379359416780062,0.1439644694328308,1700,0.2,-0.06557098031044006,0.218896484375,-1.0627715047448874
649,542,352256,-0.07226621000000008,172,300.0,0.0003,0.026598413,-0.039423995910328816,0.03361629413557239,0.38663721084594727,1710,0.2,-0.04460602253675461,0.21123046875,-1.0214513396844267
651,543,354304,-0.14526675000000006,173,300.0,0.0003,0.028965607,-0.03975674203538802,0.06367708505131305,0.2948188781738281,1720,0.2,-0.06622689217329025,0.23076171875,-1.0438365830108522
653,544,356352,-0.01796613000000007,174,300.0,0.0003,0.025178168,-0.0358561944696703,0.04713843611534685,0.2434375286102295,1730,0.2,-0.03542220592498779,0.21123046875,-1.0432039564475417
655,546,358400,0.16222793999999996,175,300.0,0.0003,0.025346078,-0.0399391437851591,0.0424158948706463,-0.05959057807922363,1740,0.2,-0.0375467985868454,0.218701171875,-1.0151026153936982
658,547,360448,-0.0025553899999999708,176,300.0,0.0003,0.024279384,-0.039682286774041134,0.03158569457591511,0.43267273902893066,1750,0.2,-0.06622089445590973,0.22880859375,-1.0460998177528382
